GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Baden-Wuerttemberg,Wholesale on a fee or contract basis  Local units - number,,,,,,,6265,5938,5223,5313,5547
Baden-Wuerttemberg,Other specialised wholesale  Local units - number,,,,,,,5146,5337,5533,5322,4962
Baden-Wuerttemberg,Retail sale of cultural and recreation goods in specialised stores  Local units - number,,,,,,,4692,4200,4738,4623,4572
Baden-Wuerttemberg,"Wholesale of other machinery, equipment and supplies  Local units - number",,,,,,,4198,4615,4555,4678,4531
Baden-Wuerttemberg,Advertising and market research  Local units - number,3766,3458,3566,3584,3365,3571,4735,4473,4297,4397,4344
Baden-Wuerttemberg,Rental and leasing activities  Local units - number,2495,2965,2749,2139,2050,2595,3323,3127,3469,3475,3716
Baden-Wuerttemberg,Warehousing and support activities for transportation  Local units - number,2765,2574,2479,2770,2748,2968,3059,2808,3076,2996,3505
Baden-Wuerttemberg,Sale of motor vehicle parts and accessories  Local units - number,,,,,,,2688,2918,2812,2934,3481
Baden-Wuerttemberg,Manufacture of food products  Local units - number,716,716,3397,3459,3389,3376,3358,3244,3238,3267,3180
Baden-Wuerttemberg,Construction of buildings  Local units - number,1309,2564,2550,2650,2812,2784,2978,2706,2769,2812,2796
Baden-Wuerttemberg,Employment activities  Local units - number,1260,1239,1334,1610,1462,1445,2172,2080,2089,2048,2648
Baden-Wuerttemberg,Postal and courier activities  Local units - number,658,612,671,1051,1103,1343,2340,2378,2309,2313,2620
Baden-Wuerttemberg,Retail sale of information and communication equipment in specialised stores  Local units - number,,,,,,,2927,2618,2662,3072,2528
Baden-Wuerttemberg,"Wholesale of food, beverages and tobacco  Local units - number",,,,,,,2096,2020,2020,2310,2164
Baden-Wuerttemberg,Manufacture of rubber and plastic products  Local units - number,542,547,2452,2404,2379,2305,2304,2297,2256,2219,2156
Baden-Wuerttemberg,Manufacture of electrical equipment  Local units - number,528,535,2317,2287,2244,2246,2240,2222,2146,2093,2058
Baden-Wuerttemberg,"Travel agency, tour operator and other reservation service and related activities  Local units - number",1387,1605,1439,1112,1114,1157,1659,1805,1794,1709,2025
Baden-Wuerttemberg,Repair of computers and personal and household goods  Local units - number,1459,1470,1483,1518,1600,1612,1833,1863,1903,1963,2022
Baden-Wuerttemberg,"Water supply; sewerage, waste management and remediation activities  Local units - number",1045,1040,1051,1037,1046,1050,1170,1198,1224,1262,1831
Baden-Wuerttemberg,"Manufacture of computer, electronic and optical products  Local units - number",403,402,1833,1813,1779,1797,1727,1703,1690,1650,1623
Baden-Wuerttemberg,Information service activities  Local units - number,1570,1124,646,1355,1166,1386,1332,1336,1371,1366,1549
Baden-Wuerttemberg,Publishing activities  Local units - number,1182,1176,1141,1288,1325,1254,1453,1373,1575,1519,1470
Baden-Wuerttemberg,Other manufacturing  Local units - number,345,332,1509,1480,1457,1445,1437,1451,1460,1450,1453
Baden-Wuerttemberg,Manufacture of other non-metallic mineral products  Local units - number,335,325,1518,1522,1458,1433,1412,1389,1375,1362,1347
Baden-Wuerttemberg,Scientific research and development  Local units - number,943,917,1162,1043,1223,1171,1681,1224,1451,1607,1277
Baden-Wuerttemberg,Veterinary activities  Local units - number,871,876,860,839,862,892,1001,1026,1144,1134,1236
Baden-Wuerttemberg,Wholesale of information and communication equipment  Local units - number,,,,,,,1231,1317,1136,1162,1233
Baden-Wuerttemberg,Retail sale of automotive fuel in specialised stores  Local units - number,,,,,,,1365,1435,836,938,1165
Baden-Wuerttemberg,"Manufacture of motor vehicles, trailers and semi-trailers  Local units - number",325,314,1396,1317,1256,1282,1274,1250,1171,1125,1099
Baden-Wuerttemberg,"Motion picture, video and television programme production, sound recording and music publishing activities  Local units - number",584,711,852,681,675,698,944,1170,926,1052,1097
